 #L        TxT           TxE           TxP           TxW1          ExT           ExE           ExP           ExW1          PxT           PxE           PxP           PxW1          W1xT          W1xE          W1xP         W1xW1       
85    2.253133e+03 -1.359689e+01  4.425391e-04  2.881116e-02 -1.359689e+01  5.433948e-01 -8.650141e-07  2.021508e-06  4.425391e-04 -8.650141e-07  1.113197e-07  8.116217e-06  2.881116e-02  2.021508e-06  8.116217e-06  1.249304e-03
86    2.281182e+03 -1.419740e+01  4.364178e-04  2.851134e-02 -1.419740e+01  5.587782e-01 -9.292898e-07  1.898284e-06  4.364178e-04 -9.292898e-07  1.106476e-07  8.124773e-06  2.851134e-02  1.898284e-06  8.124773e-06  1.265061e-03
87    2.309435e+03 -1.480496e+01  4.304345e-04  2.821667e-02 -1.480496e+01  5.742182e-01 -9.868762e-07  1.788242e-06  4.304345e-04 -9.868762e-07  1.099778e-07  8.132841e-06  2.821667e-02  1.788242e-06  8.132841e-06  1.280793e-03
88    2.337872e+03 -1.541905e+01  4.246536e-04  2.792704e-02 -1.541905e+01  5.897020e-01 -1.038568e-06  1.692274e-06  4.246536e-04 -1.038568e-06  1.093107e-07  8.140450e-06  2.792704e-02  1.692274e-06  8.140450e-06  1.296503e-03
89    2.366504e+03 -1.603922e+01  4.191394e-04  2.764236e-02 -1.603922e+01  6.052169e-01 -1.085158e-06  1.611275e-06  4.191394e-04 -1.085158e-06  1.086464e-07  8.147629e-06  2.764236e-02  1.611275e-06  8.147629e-06  1.312192e-03
90    2.395333e+03 -1.666519e+01  4.139561e-04  2.736251e-02 -1.666519e+01  6.207453e-01 -1.127442e-06  1.546138e-06  4.139561e-04 -1.127442e-06  1.079850e-07  8.154408e-06  2.736251e-02  1.546138e-06  8.154408e-06  1.327862e-03
91    2.424367e+03 -1.729644e+01  4.091528e-04  2.708740e-02 -1.729644e+01  6.362741e-01 -1.166114e-06  1.497371e-06  4.091528e-04 -1.166114e-06  1.073268e-07  8.160811e-06  2.708740e-02  1.497371e-06  8.160811e-06  1.343514e-03
92    2.453609e+03 -1.793276e+01  4.047180e-04  2.681694e-02 -1.793276e+01  6.517882e-01 -1.201473e-06  1.463944e-06  4.047180e-04 -1.201473e-06  1.066718e-07  8.166851e-06  2.681694e-02  1.463944e-06  8.166851e-06  1.359148e-03
93    2.483073e+03 -1.857363e+01  4.006247e-04  2.655104e-02 -1.857363e+01  6.672731e-01 -1.233720e-06  1.444441e-06  4.006247e-04 -1.233720e-06  1.060200e-07  8.172539e-06  2.655104e-02  1.444441e-06  8.172539e-06  1.374762e-03
94    2.512753e+03 -1.921885e+01  3.968462e-04  2.628962e-02 -1.921885e+01  6.827163e-01 -1.263053e-06  1.437446e-06  3.968462e-04 -1.263053e-06  1.053715e-07  8.177883e-06  2.628962e-02  1.437446e-06  8.177883e-06  1.390354e-03
95    2.542662e+03 -1.986789e+01  3.933558e-04  2.603258e-02 -1.986789e+01  6.981025e-01 -1.289674e-06  1.441543e-06  3.933558e-04 -1.289674e-06  1.047263e-07  8.182894e-06  2.603258e-02  1.441543e-06  8.182894e-06  1.405923e-03
96    2.572795e+03 -2.052033e+01  3.901266e-04  2.577984e-02 -2.052033e+01  7.134177e-01 -1.313780e-06  1.455316e-06  3.901266e-04 -1.313780e-06  1.040845e-07  8.187580e-06  2.577984e-02  1.455316e-06  8.187580e-06  1.421469e-03
97    2.603152e+03 -2.117572e+01  3.871319e-04  2.553130e-02 -2.117572e+01  7.286473e-01 -1.335574e-06  1.477349e-06  3.871319e-04 -1.335574e-06  1.034460e-07  8.191953e-06  2.553130e-02  1.477349e-06  8.191953e-06  1.436988e-03
98    2.633740e+03 -2.183364e+01  3.843448e-04  2.528690e-02 -2.183364e+01  7.437759e-01 -1.355254e-06  1.506228e-06  3.843448e-04 -1.355254e-06  1.028110e-07  8.196020e-06  2.528690e-02  1.506228e-06  8.196020e-06  1.452481e-03
99    2.664537e+03 -2.249355e+01  3.817385e-04  2.504653e-02 -2.249355e+01  7.587897e-01 -1.373020e-06  1.540535e-06  3.817385e-04 -1.373020e-06  1.021795e-07  8.199793e-06  2.504653e-02  1.540535e-06  8.199793e-06  1.467945e-03
100   2.695559e+03 -2.315497e+01  3.792863e-04  2.481010e-02 -2.315497e+01  7.736769e-01 -1.389072e-06  1.578855e-06  3.792863e-04 -1.389072e-06  1.015515e-07  8.203280e-06  2.481010e-02  1.578855e-06  8.203280e-06  1.483380e-03
101   2.726798e+03 -2.381736e+01  3.769613e-04  2.457754e-02 -2.381736e+01  7.884229e-01 -1.403610e-06  1.619772e-06  3.769613e-04 -1.403610e-06  1.009270e-07  8.206491e-06  2.457754e-02  1.619772e-06  8.206491e-06  1.498783e-03
102   2.758255e+03 -2.448046e+01  3.747369e-04  2.434876e-02 -2.448046e+01  8.030055e-01 -1.416833e-06  1.661871e-06  3.747369e-04 -1.416833e-06  1.003061e-07  8.209435e-06  2.434876e-02  1.661871e-06  8.209435e-06  1.514154e-03
